40
-50 -46 40 -41
-50 -42 40 -37
-50 -38 40 -33
-50 -34 40 -29
-50 -30 40 -25
-50 -26 40 -21
-50 -22 40 -17
-50 -18 40 -13
-50 -14 40 -9
-50 -10 40 -5
-50 -6 40 -1
-50 -2 40 3
-50 2 40 7
-50 6 40 11
-50 10 40 15
-50 14 40 19
-50 18 40 23
-50 22 40 27
-50 26 40 31
-50 30 40 35
-46 -50 -41 40
-42 -50 -37 40
-38 -50 -33 40
-34 -50 -29 40
-30 -50 -25 40
-26 -50 -21 40
-22 -50 -17 40
-18 -50 -13 40
-14 -50 -9 40
-10 -50 -5 40
-6 -50 -1 40
-2 -50 3 40
2 -50 7 40
6 -50 11 40
10 -50 15 40
14 -50 19 40
18 -50 23 40
22 -50 27 40
26 -50 31 40
30 -50 35 40

Expected:
400
@(-45.765, -45.765): { 1, 21 }
@(-45.542, -41.752): { 2, 21 }
@(-45.319, -37.74): { 3, 21 }
@(-45.096, -33.728): { 4, 21 }
@(-44.873, -29.715): { 5, 21 }
@(-44.65, -25.703): { 6, 21 }
@(-44.427, -21.69): { 7, 21 }
@(-44.204, -17.678): { 8, 21 }
@(-43.981, -13.666): { 9, 21 }
@(-43.759, -9.6533): { 10, 21 }
@(-43.536, -5.6409): { 11, 21 }
@(-43.313, -1.6285): { 12, 21 }
@(-43.09, 2.3839): { 13, 21 }
@(-42.867, 6.3963): { 14, 21 }
@(-42.644, 10.409): { 15, 21 }
@(-42.421, 14.421): { 16, 21 }
@(-42.198, 18.433): { 17, 21 }
@(-41.975, 22.446): { 18, 21 }
@(-41.752, -45.542): { 1, 22 }
@(-41.752, 26.458): { 19, 21 }
@(-41.529, -41.529): { 2, 22 }
@(-41.529, 30.471): { 20, 21 }
@(-41.307, -37.517): { 3, 22 }
@(-41.084, -33.505): { 4, 22 }
@(-40.861, -29.492): { 5, 22 }
@(-40.638, -25.48): { 6, 22 }
@(-40.415, -21.467): { 7, 22 }
@(-40.192, -17.455): { 8, 22 }
@(-39.969, -13.443): { 9, 22 }
@(-39.746, -9.4303): { 10, 22 }
@(-39.523, -5.418): { 11, 22 }
@(-39.3, -1.4056): { 12, 22 }
@(-39.077, 2.6068): { 13, 22 }
@(-38.854, 6.6192): { 14, 22 }
@(-38.632, 10.632): { 15, 22 }
@(-38.409, 14.644): { 16, 22 }
@(-38.186, 18.656): { 17, 22 }
@(-37.963, 22.669): { 18, 22 }
@(-37.74, -45.319): { 1, 23 }
@(-37.74, 26.681): { 19, 22 }
@(-37.517, -41.307): { 2, 23 }
@(-37.517, 30.693): { 20, 22 }
@(-37.294, -37.294): { 3, 23 }
@(-37.071, -33.282): { 4, 23 }
@(-36.848, -29.269): { 5, 23 }
@(-36.625, -25.257): { 6, 23 }
@(-36.402, -21.245): { 7, 23 }
@(-36.18, -17.232): { 8, 23 }
@(-35.957, -13.22): { 9, 23 }
@(-35.734, -9.2074): { 10, 23 }
@(-35.511, -5.195): { 11, 23 }
@(-35.288, -1.1827): { 12, 23 }
@(-35.065, 2.8297): { 13, 23 }
@(-34.842, 6.8421): { 14, 23 }
@(-34.619, 10.854): { 15, 23 }
@(-34.396, 14.867): { 16, 23 }
@(-34.173, 18.879): { 17, 23 }
@(-33.95, 22.892): { 18, 23 }
@(-33.728, -45.096): { 1, 24 }
@(-33.728, 26.904): { 19, 23 }
@(-33.505, -41.084): { 2, 24 }
@(-33.505, 30.916): { 20, 23 }
